Word,Count,Senses,Definition,Example
pedantically,12,,in a pedantic manner,"these interpretations are called `schemas' or, more pedantically, `schemata'"
pejoratively,12,,in a pejorative manner,I am not using the word pejoratively
penetratingly,13,penetratively,with ability to see into deeply,the author treats his subject penetratingly
pensively,9,,in a pensive manner,pensively he stared at the painting
penuriously,11,,in a penurious manner,they lived penuriously
per annum,9,p.a. per yea each yea annually,by the year,every year (usually with reference to a sum of money paid or received)
per capita,10,,per person,for each person
per diem,8,by the day,one every day,we'll save  man-hours per diem
perceptibly,11,noticeably observably,in a noticeable manner,he changed noticeably over the years
perceptually,12,,with regard to perception,this task is perceptually very difficult
perchance,9,by chance,through chance,
perennially,11,,in a perennial manner,repeatedly
perfectly,9,,in a perfect or faultless way,She performed perfectly on the balance beam
perfidiously,12,,in a perfidious manner,he was playing perfidiously one side against the other
perforce,8,,by necessity,by force of circumstance
perfunctorily,13,pro forma,in a set manner without serious attention,as a formality
perilously,10,hazardously dangerously,in a dangerous manner,he came dangerously close to falling off the ledge
perkily,7,,in a perky manner,"stuck perkily, like a bustle on a woman's skirt"
permanently,11,for good,for a long time without essential change,he is permanently disabled
perpendicularly,15,,in a perpendicular manner,this red line runs perpendicularly to the green line
perpetually,11,,everlastingly,for all time
perplexedly,11,confoundedly,in a perplexed manner,he looked at his professor perplexedly
persistently,12,,in a persistent manner,"he was asking questions, unavoidable questions, persistently..."
personally,10,,as a person,he is personally repulsive
personally,10,in person,in the flesh,without involving anyone else
personally,10,,concerning the speaker,"personally, I find him stupid"
personally,10,,in a personal way,he took her comments personally
personally,10,,as yourself,"speaking personally, I would not want to go"
persuasively,12,,in a persuasive manner,this essay argues so persuasively...
pertinaciously,14,,in a dogged and pertinacious manner,he struggled pertinaciously for the new resolution
pertinently,11,,in a pertinent way,"what is singular about his use of them is that no other artist, of his time or any other, has painted them so directly, intimately and pertinently"
perversely,10,,deliberately deviant,his perversely erotic notions
pessimistically,15,,with pessimism,in a pessimistic manner
pharmacologically,17,,with regard to pharmacology,"pharmacologically, this plant could have important applications"
phenomenally,12,,to a phenomenal degree,his reaction was phenomenally quick
philatelically,14,,in a philatelic manner,the Post Office honors great Americans philatelically
philosophically,15,,in a philosophic manner,she took it philosophically
philosophically,15,,with respect to philosophy,the movement is philosophically indebted to Rousseau
phlegmatically,14,,in a phlegmatic manner,he accepted the decision phlegmatically
phonemic,8,phonemically,by phonemics,phonemically transcribed
phonetically,12,,by phonetics,phonetically realized
photoelectrically,17,,by photoelectric means,they measured it photoelectrically
photographically,16,,by photographic means,photographically recorded scenes
photometrically,15,,by photometric means,photometrically measured
phylogenetically,16,,with regard to phylogeny,a phylogenetically primitive part of the brain
physically,10,,in accord with physical laws,it is physically impossible
physiologically,15,,of or relating to physiological processes,with respect to physiology
pianissimo,10,very softly,a direction in music,to be played very softly
piano,5,softly,used as a direction in music,to be played relatively softly
pictorially,11,,in a pictorial manner,depth is established pictorially
picturesquely,13,,in a picturesque manner,in the building trade such a trader is picturesquely described as a `brass plate' merchant
piecemeal,9,little by little bit by bit  in stages,a little bit at a time,the research structure has developed piecemeal
piercingly,10,bitterly bitingly  bitte,extremely and sharply,it was bitterly cold
piggishly,9,,in a piggish manner,"piggishly, he took two pieces of cake"
piggyback,9,pickaback pig-a-back,on the back or shoulder or astraddle on the hip,she carried her child piggyback
piggyback,9,pickaback pig-a-back,on a railroad flatcar,the trailer rode piggyback across the country
pinnately,9,,having a pinnate shape,a pinnately compound leaf
piping,6,steaming,(used of heat) extremely,the casserole was piping hot
piquantly,9,spicily,with strong spices,in a spicy manner
piratically,11,,in a piratical manner,the piratically published edition of his book
pit-a-pat,9,pitty-patty pitty-pat  pitter-patte,describing a rhythmic beating,his heart went pit-a-pat
pit-a-pat,9,pitty-patty pitty-pat  pitter-patte,as of footsteps,he came running pit-a-pat down the hall
pithily,7,sententiously,in a pithy sententious manner,she expressed herself pithily
pitifully,9,,to a pitiful degree,"wages were pitifully low, particularly the wages of women"
pityingly,9,compassionately,in a compassionate manner,the nurse looked at him pityingly
pizzicato,9,,with a light plucking staccato sound,
placatingly,11,,in a placating manner,Jenny smiled placatingly
placidly,8,,in a placid and good-natured manner,"I put the questions, and she answered them placidly"
placidly,8,,in a quiet and tranquil manner,the sea now shimmered placidly before our eyes
plaguey,7,plaguy plaguily,in a disagreeable manner,it's so plaguey cold
plainly,7,simply,in a simple manner,without extravagance or embellishment
plaintively,11,,in a plaintive manner,the last note of the song rang out plaintively
plastically,11,,in a plastic manner,he used the clay plastically
playfully,9,,in a playful manner,she loosened the half-hoop of diamonds on her left hand third finger and held it out to him playfully
pleasantly,10,agreeably enjoyably,in an enjoyable manner,we spent a pleasantly lazy afternoon
pleasantly,10,cheerily sunnily,in a cheerful manner,"`I'll do the dishes,' he said pleasantly"
please,6,,used in polite request,please pay attention
pleasingly,10,,in a pleasing manner,the room was pleasingly large
plenarily,9,,in a plenary manner,an empire destined to enter the Commonwealth plenarily
